========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date: ,,,,,,,
Time:  ,,,,,,,
Revision:   Not in VersionControl,,,,,,,
Variant:    No variations,,,,,,,
Units used: mil,,,,,,,
,,,,,,,
Designator,Center-X(mil),Center-Y(mil),Layer,Rotation,Comment,Footprint,Description
Y1,5370.000mil,4192.500mil,TopLayer,180,8MHz,Crystal_TH_HC-49S-L11.5-W4.5,
USB,10087.638mil,5520.000mil,TopLayer,90,USB_Micro-B-Molex,USB_Micro-B,
U13,8176.024mil,4739.913mil,TopLayer,180,XC6206-3.3V,SOT-23-3,
U12,9481.575mil,4050.110mil,TopLayer,180,SH8J62,SOIC_8Pin-L5.0-W4.0,
U11,8897.838mil,3681.026mil,TopLayer,0,LN2054Y42AMR,SOT-23-5_L3.0-W1.7,"LN2054Y42AMR, Linear Li-Ion Battery Charger"
U10,8192.838mil,5946.026mil,TopLayer,0,ME6217C33M5G,SOT-23-5_L3.0-W1.7,
U9,6551.026mil,7257.162mil,TopLayer,270,ME6217C33M5G,SOT-23-5_L3.0-W1.7,
U8,9772.485mil,5015.000mil,TopLayer,180,MIC29302AWU,TO-263-5_Tab-Pin6_L10.3-W8.9,"Tab-Pin6, 3A Fast Response LDO"
U7,7499.724mil,7139.882mil,TopLayer,0,ESP-12E,ESP8266-12E/ESP-12E_Ai_Thinker,
U6,4563.425mil,4054.890mil,TopLayer,0,AT24C128,SOIC_8Pin-L5.0-W4.0,
U5,2406.250mil,4205.000mil,TopLayer,90,Lora Module,Lora_Module_SX1278/STM8,
U4,5481.729mil,6696.120mil,TopLayer,90,W25Q64,SOIC_8Pin-L5.3-W5.3,
U3,4645.000mil,7050.000mil,TopLayer,0,MSP2202,LCD_TFT_SPI_2.2inch_ILI9341,PinSocket on board for MSP2202 LCD-TFT Module
U2,5455.000mil,5137.500mil,TopLayer,0,Key Matrix,Key_Matrix_Module_16Key_Tactile,
U1,5435.740mil,4915.740mil,TopLayer,0,STM32F105RC,LQFP_64Pin_L10.0-W10.0-P0.5,
TR2,8430.000mil,3465.000mil,TopLayer,0,Test Ring,Test_Ring_TH-BD2.54mm,
TR1,8945.000mil,4590.000mil,TopLayer,0,Test Ring,Test_Ring_TH-BD2.54mm,
T-Switch1,8397.323mil,7455.000mil,TopLayer,180,DSHP02TSGET,Toggle-Switch_2Bit-4Pin_SMD,
R36,9714.531mil,3961.008mil,TopLayer,0,10KO,R0603,
R35,9118.992mil,3689.531mil,TopLayer,90,2KO,R0603,
R34,9525.469mil,4393.992mil,TopLayer,180,100KO,R0603,
R33,8848.992mil,3454.531mil,TopLayer,90,3KO,R0603,
R32,8390.000mil,3885.000mil,TopLayer,0,0O,R0805,
R31,9313.992mil,4364.531mil,TopLayer,90,10KO,R0603,
R30,9205.000mil,4365.340mil,TopLayer,90,100KO,R0603,
R29,8991.008mil,3455.469mil,TopLayer,270,2KO,R0603,
R28,8471.008mil,5935.469mil,TopLayer,270,47KO,R0603,
R27,9555.000mil,4635.000mil,TopLayer,270,0O,R0805,
R26,9308.992mil,5124.531mil,TopLayer,90,47KO,R0603,
R25,9313.992mil,4704.531mil,TopLayer,90,330O,R0603,
R24,9311.008mil,4915.469mil,TopLayer,270,100KO,R0603,
R23,9674.531mil,5556.008mil,TopLayer,0,2KO,R0603,
